"tipo_unidade";"orgao";"nome";"logradouro";"complemento";"bairro";"responsavel";"telefone";"celular";"turno_manha";"turno_tarde";"turno_noite";"turno_integral";"turno_detalhe";"servicos";"situacao";"coordenada"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Nossa Senhora  de Lourdes";"R Gen João Nunes S. Tavares;Gen";"165";"Fragata";"Sergio Renato Costa da Rosa";"32714288";"8139-0905";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série) e PEJA (Programa de Educação para Jovens e Adultos)";"Próprio";"-31.7509275265000000,-52.3968510423000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Nossa Senhora  do  Carmo";"R Dr Amarante";"956";"Centro";"Ana Rita Ferreira Ribeiro ";"32291542";"8404-6802";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª série) e PEJA (Programa de Educação para Jovens e Adultos)";"Outros";"-31.7564723589000000,-52.3470712862000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Núcleo Habitacional Dunas";"R  Três - Lotm Dunas";"470";"Areal";"Simone da Silva Rosado";"32741247";"84178767";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª e 5ª séries)  e PEJA (Programa de Educação para Jovens e Adultos)";"Próprio";"-31.7382466862000000,-52.3192015639000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Núcleo Habitacional Getúlio Vargas";"R  Doze, Lotm Getúlio Vargas, R";"95";"Três Vendas";"Patrícia Reis";"3283-2397";"84533783";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª e 5ª séries) e PEJA (Programa de Educação para Jovens e Adultos)";"Próprio";"-31.7025194564000000,-52.3125170290000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Olavo Bilac";"R  Paulo Z. Da Cruz;Prof";"267";"Fragata";"Juliana Brochado";"32716500";"8451-3857";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 5º ano e 5ª a 8ª série) e PEJA (Programa de Educação para Jovens e Adultos)";"Próprio";"-31.7401492875000000,-52.3848310404000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Osvaldo Cruz";"R Sao Francisco;São";"259";"Três Vendas";"Katia Grigoletti";"32233140";"9104-9709";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª a 6ª série)";"Próprio";"-31.7231849261000000,-52.3507208589000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Piratinino de Almeida";"AV  Domingos José De Almeida";"4057";"Areal";"Cristina Torres dos Santos";"32281649";"92419558";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série)";"Próprio";"-31.7484671019000000,-52.2953280599000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Professora Braulinda Fernandes";"DIS  Monte Bonito - Estr";"";"Zona Rural";"Cléa Teresinha Völz Krause";"8453-0525";"8453-0525";1;1;0;0;"";"Atendimento a alunos do Ensino Fundamental (Pré ao 4º ano)";"Próprio";""
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Professora Daura Ferreira Pinto";"AV  Alfredo Theodoro Born - Av";"s/n";"Três Vendas";"Fabiana Souza Ribeiro";"32780919";"91440220";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª e 5ª séries) e PEJA (Programa de Educação para Jovens e Adultos)";"Próprio";"-31.6459420929000000,-52.3314068934000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Santa Irene";"R  Tres Ncl Res Cohab Pestano";"511";"Três Vendas";"Maria Giovana Burkeit";"32738644";"9104-6463";1;1;0;0;"";"Atendimento a alunos do Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série)";"Próprio";"-31.7038878722000000,-52.3212064928000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Santa Terezinha";"R  Vinte E Cinco De Julho-Av";"554";"Três Vendas";"Roberta Rodrigues Link";"3223-2326";"9121-6941";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª a 6ª série)";"Outros";"-31.7262680196000000,-52.3503408733000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Waldemar Denzer";"R  Alcindo Guanabara";"";"Zona Rural";"Kátia Eliza Griep Bonow";"";"";1;1;1;0;"";"";"Outros";""
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Wilson Muller";"R  Triunfo - Col";"";"Zona Rural";"Lilian Aldrighi Gomes";"81324631";"8407-7551";1;1;0;0;"";"Atendimento a alunos de Educação infantil, do Ensino Fundamental (Pré Escola a 5ª série) e PEJA (Programa de Educação para Jovens e Adultos)";"Próprio";"-31.368428,-52.5059"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Adayl Bento Costa";"R  João Batista";"254";"Três Vendas";"Eliane Beatriz Schiavon";"32731308";"991699595";0;0;0;1;"";"Escola Municipal de Educação Infantil (Maternal-1 e 2,  Pré- 1 e 2)";"Próprio";""
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Albina Peres";"R  Raposo Tavares";"S/N";"Areal";"Maria Eduarda Fortuna de Freitas ";"32288575";"991765800";1;1;0;1;"";"Escola Municipal de Educação Infantil (Berçário a Pré-escolar)";"Próprio";"-31.7442672637000000,-52.2944055265000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Anita Malfatti";"R  Machado De Assis";"285";"Fragata";"Roseli Schaun Rockenbach";"32716527";"981286788";0;0;0;1;"";"Escola Municipal de Educação Infantil (Maternal, Berçário e Pré-escolar)";"Próprio";"-31.7461768988000000,-52.3936471959000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Antonio Caringi";"AV Gen Abreu E Lima";"302";"Três Vendas";"Carmem L. Peverada dos Reis";"32732526";"984259579";0;0;0;1;"";"Escola Municipal de Educação Infantil (Berçário, Maternal, Pré-escolar)";"Próprio";"-31.7164003844000000,-52.3458431000000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Bernardo de Souza";"R  Anchieta";"numero 3553";"Centro";"Cátia Alessandra da Silva Fontoura";"32710037";"981184483";1;1;0;0;"parcial integral";"";"Próprio";"-31.754792, -52.334359800000016"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Cassiano Ricardo";"R Dr Durval Nunes Penny;Dr.";"164";"Fragata";"Vanessa Crizel da Silva";"32812797";"984139375";0;0;0;1;"";"Escola Municipal de Educação Infantil (Berçário, Maternal a Pré-escolar)";"Próprio";"-31.7584016568000000,-52.3919151838000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Darcy Ribeiro";"R  Alberto Bento";"223";"Fragata";"Liane Lemos Morales";"32717495";"984410890";1;1;0;1;"";"Escola Municipal de Educação Infantil (Berçário,Maternal a Pré-escola)";"Próprio";"-31.7423282937000000,-52.3854928818000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Dyrio Gorgot";"R Profa Ernestina Mursa; Profa";"189";"Centro";"Angela Samira Haddad";"32257545";"984486946";1;1;0;0;"";"Escola Municipal de Educação Infantil (Berçário a Pré-2)";"Cedido Estado";"-31.7701391747000000,-52.3304349837000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Érico Veríssimo";"R Dona Darcy Vargas; Dom";"254";"Centro";"Camila Oliveira de Souza";"32791157";"984146755";1;1;0;0;"";"Escola Municipal de Educação Infantil (Berçário a Pré-2)";"Próprio";"-31.7715968367000000,-52.3203561658000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Graciliano Ramos";"R  Osvaldo Cruz";"615";"Fragata";"Patricia da Silva Mullett";"32210187";"991320328";0;0;0;1;"";"Escola Municipal de Educação Infantil (Berçário, Maternal e Pré-escola).";"Próprio";"-31.7626262740000000,-52.3742904935000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Herbert  José de  Souza";"R  Leopoldo Brod";"3.220";"Três Vendas";"Sirlei kohn Dutra";"32833015";"984771746";1;1;1;0;"";"Escola Municipal de Educação Infantil (Berçário a Pré-2)";"Próprio";"-31.7057820681000000,-52.3240826044000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Ivanir  Dias";"R Gen Manoel Lucas De Lima;Gen";"215";"Três Vendas";"Fernanda dos Santos Abreu Alcântara";"32733435";"991531416";1;1;0;1;"";"Escola Municipal de Educação Infantil (Berçário, Maternal e Pré-escola).";"Próprio";"-31.7299210180000000,-52.3350888367000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Jacema Rodrigues Prestes";"AV  Pery Ribas";"553";"Três Vendas";"Urana Gonçalves Rodrigues dos Santos";"32776231";"991740041";1;1;0;1;"";"Escola Municipal de Educação Infantil (Berçário, Maternal e Pré-escola).";"Próprio";"-31.7205964, -52.304908599999976"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. João Guimarães Rosa";"AV  Herbert Hadler";"1310";"Fragata";"Roberta Guilherme Pereira";"32710048";"984625752";0;0;0;1;"";"Escola Municipal de Educação Infantil (Berçário, Maternal e Pré-escola).";"Próprio";"-31.7357581067000000,-52.3850386897000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. José Lins do Rego";"R Br Itamaracá";"690";"Areal";"Cintia Silva da Silva";"32793704";"981209138";0;0;0;1;"";"Escola Municipal de Educação Infantil (Berçário, Maternal, Pré-escola)";"Cedido Estado";"-31.7631705580000000,-52.3236904669000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.I. Lobo da Costa";"R  Quatro Ltm Dunas";"196";"Três Vendas";"Luciane Rossales Farias";"32738788";"991531185";1;1;0;0;"";"Escola Municipal de Educação Infantil (Berçário a Pré-2)";"Outros";""
